district_code,state_code,state_name,district,year,crop,area_1000_ha,production_1000_tons,yield_kg_per_ha
800,13,West Bengal,24 Parganas,2000,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2000,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2000,CHICKPEA,1.26,0.9,714.29
800,13,West Bengal,24 Parganas,2000,COTTON,1.19,0.46,386.55
800,13,West Bengal,24 Parganas,2000,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2000,GROUNDNUT,4.16,6.06,1456.73
800,13,West Bengal,24 Parganas,2000,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2000,LINSEED,0,0,0
800,13,West Bengal,24 Parganas,2000,MAIZE,0,0,0
800,13,West Bengal,24 Parganas,2000,MINOR PULSES,20.24,16.31,805.83
800,13,West Bengal,24 Parganas,2000,OILSEEDS,54.18,49.75,918.24
800,13,West Bengal,24 Parganas,2000,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2000,PIGEONPEA,0.04,0.03,750
800,13,West Bengal,24 Parganas,2000,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2000,RAPESEED AND MUSTARD,42.58,36.73,862.61
800,13,West Bengal,24 Parganas,2000,RICE,699.81,1507.89,2154.71
800,13,West Bengal,24 Parganas,2000,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2000,SESAMUM,7.18,6.82,949.86
800,13,West Bengal,24 Parganas,2000,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2000,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2000,SUGARCANE,1.04,6.63,6375
800,13,West Bengal,24 Parganas,2000,SUNFLOWER,0.24,0.15,625
800,13,West Bengal,24 Parganas,2000,WHEAT,16.84,39.57,2349.76
800,13,West Bengal,24 Parganas,2001,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2001,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2001,CHICKPEA,0.82,0.67,817.07
800,13,West Bengal,24 Parganas,2001,COTTON,1.79,0.77,430.17
800,13,West Bengal,24 Parganas,2001,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2001,GROUNDNUT,4.17,4.97,1191.85
800,13,West Bengal,24 Parganas,2001,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2001,LINSEED,0.18,0.07,388.89
800,13,West Bengal,24 Parganas,2001,MAIZE,0,0,0
800,13,West Bengal,24 Parganas,2001,MINOR PULSES,17.06,10.71,627.78
800,13,West Bengal,24 Parganas,2001,OILSEEDS,56.42,42.32,750.09
800,13,West Bengal,24 Parganas,2001,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2001,PIGEONPEA,0.03,0.04,1333.33
800,13,West Bengal,24 Parganas,2001,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2001,RAPESEED AND MUSTARD,46.96,31.61,673.13
800,13,West Bengal,24 Parganas,2001,RICE,761.14,1859.06,2442.47
800,13,West Bengal,24 Parganas,2001,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2001,SESAMUM,3.99,4.16,1042.61
800,13,West Bengal,24 Parganas,2001,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2001,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2001,SUGARCANE,2.51,18.44,7346.61
800,13,West Bengal,24 Parganas,2001,SUNFLOWER,1.11,1.49,1342.34
800,13,West Bengal,24 Parganas,2001,WHEAT,17.85,36.64,2052.66
800,13,West Bengal,24 Parganas,2002,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2002,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2002,CHICKPEA,0.95,0.71,747.37
800,13,West Bengal,24 Parganas,2002,COTTON,0.83,0.25,301.2
800,13,West Bengal,24 Parganas,2002,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2002,GROUNDNUT,1.37,1.28,934.31
800,13,West Bengal,24 Parganas,2002,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2002,LINSEED,0,0,0
800,13,West Bengal,24 Parganas,2002,MAIZE,0,0,0
800,13,West Bengal,24 Parganas,2002,MINOR PULSES,16.15,12.73,788.24
800,13,West Bengal,24 Parganas,2002,OILSEEDS,44.81,40.85,911.63
800,13,West Bengal,24 Parganas,2002,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2002,PIGEONPEA,0,0,0
800,13,West Bengal,24 Parganas,2002,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2002,RAPESEED AND MUSTARD,36.34,32.04,881.67
800,13,West Bengal,24 Parganas,2002,RICE,721.17,1692.32,2346.63
800,13,West Bengal,24 Parganas,2002,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2002,SESAMUM,5.37,5.28,983.24
800,13,West Bengal,24 Parganas,2002,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2002,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2002,SUGARCANE,0.62,4.45,7177.42
800,13,West Bengal,24 Parganas,2002,SUNFLOWER,1.73,2.25,1300.58
800,13,West Bengal,24 Parganas,2002,WHEAT,10.87,23.84,2193.19
800,13,West Bengal,24 Parganas,2003,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2003,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2003,CHICKPEA,0.24,0.24,1000
800,13,West Bengal,24 Parganas,2003,COTTON,1.43,0.47,328.67
800,13,West Bengal,24 Parganas,2003,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2003,GROUNDNUT,3.09,3.87,1252.43
800,13,West Bengal,24 Parganas,2003,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2003,LINSEED,0,0,0
800,13,West Bengal,24 Parganas,2003,MAIZE,0.4,1.16,2900
800,13,West Bengal,24 Parganas,2003,MINOR PULSES,16.68,11.14,667.87
800,13,West Bengal,24 Parganas,2003,OILSEEDS,48.82,46.96,961.9
800,13,West Bengal,24 Parganas,2003,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2003,PIGEONPEA,0.01,0.01,1000
800,13,West Bengal,24 Parganas,2003,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2003,RAPESEED AND MUSTARD,32.61,32.18,986.81
800,13,West Bengal,24 Parganas,2003,RICE,714.91,1671.21,2337.65
800,13,West Bengal,24 Parganas,2003,SAFFLOWER,1.02,0.91,892.16
800,13,West Bengal,24 Parganas,2003,SESAMUM,6.85,6.93,1011.68
800,13,West Bengal,24 Parganas,2003,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2003,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2003,SUGARCANE,0.69,5.95,8623.19
800,13,West Bengal,24 Parganas,2003,SUNFLOWER,5.26,3.07,583.65
800,13,West Bengal,24 Parganas,2003,WHEAT,13.05,30.28,2320.31
800,13,West Bengal,24 Parganas,2004,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2004,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2004,CHICKPEA,0.6,0.6,1000
800,13,West Bengal,24 Parganas,2004,COTTON,0.8,0.61,762.5
800,13,West Bengal,24 Parganas,2004,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2004,GROUNDNUT,1.18,1.87,1584.75
800,13,West Bengal,24 Parganas,2004,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2004,LINSEED,0.1,0.1,1000
800,13,West Bengal,24 Parganas,2004,MAIZE,0.25,0.66,2640
800,13,West Bengal,24 Parganas,2004,MINOR PULSES,16.3,10.2,625.77
800,13,West Bengal,24 Parganas,2004,OILSEEDS,48.19,46.14,957.46
800,13,West Bengal,24 Parganas,2004,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2004,PIGEONPEA,0,0,0
800,13,West Bengal,24 Parganas,2004,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2004,RAPESEED AND MUSTARD,33.4,27.6,826.35
800,13,West Bengal,24 Parganas,2004,RICE,662.51,1598.87,2413.35
800,13,West Bengal,24 Parganas,2004,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2004,SESAMUM,8.08,9.44,1168.32
800,13,West Bengal,24 Parganas,2004,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2004,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2004,SUGARCANE,0.37,2.65,7162.16
800,13,West Bengal,24 Parganas,2004,SUNFLOWER,5.34,7.23,1353.93
800,13,West Bengal,24 Parganas,2004,WHEAT,8.86,18.37,2073.36
800,13,West Bengal,24 Parganas,2005,BARLEY,0.01,0.01,1000
800,13,West Bengal,24 Parganas,2005,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2005,CHICKPEA,1.11,1.1,990.99
800,13,West Bengal,24 Parganas,2005,COTTON,1.46,0.65,445.21
800,13,West Bengal,24 Parganas,2005,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2005,GROUNDNUT,1.84,2.68,1456.52
800,13,West Bengal,24 Parganas,2005,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2005,LINSEED,0.02,0.01,500
800,13,West Bengal,24 Parganas,2005,MAIZE,0.25,0.52,2080
800,13,West Bengal,24 Parganas,2005,MINOR PULSES,19.16,12.76,665.97
800,13,West Bengal,24 Parganas,2005,OILSEEDS,57.66,63.64,1103.71
800,13,West Bengal,24 Parganas,2005,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2005,PIGEONPEA,0.06,0.06,1000
800,13,West Bengal,24 Parganas,2005,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2005,RAPESEED AND MUSTARD,36.1,38.75,1073.41
800,13,West Bengal,24 Parganas,2005,RICE,673.08,1562.67,2321.67
800,13,West Bengal,24 Parganas,2005,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2005,SESAMUM,10.92,11.4,1043.96
800,13,West Bengal,24 Parganas,2005,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2005,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2005,SUGARCANE,0.56,4.34,7750
800,13,West Bengal,24 Parganas,2005,SUNFLOWER,8.77,10.82,1233.75
800,13,West Bengal,24 Parganas,2005,WHEAT,10.7,21.3,1990.65
800,13,West Bengal,24 Parganas,2006,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2006,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2006,CHICKPEA,0.72,0.49,680.56
800,13,West Bengal,24 Parganas,2006,COTTON,4.99,1.84,368.74
800,13,West Bengal,24 Parganas,2006,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2006,GROUNDNUT,1.85,3.09,1670.27
800,13,West Bengal,24 Parganas,2006,KHARIF SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2006,LINSEED,0.03,0.01,333.33
800,13,West Bengal,24 Parganas,2006,MAIZE,0.25,0.52,2080
800,13,West Bengal,24 Parganas,2006,MINOR PULSES,22.97,13.83,602.09
800,13,West Bengal,24 Parganas,2006,OILSEEDS,59.16,59.8,1010.82
800,13,West Bengal,24 Parganas,2006,PEARL MILLET,0,0,0
800,13,West Bengal,24 Parganas,2006,PIGEONPEA,0.04,0.02,500
800,13,West Bengal,24 Parganas,2006,RABI SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2006,RAPESEED AND MUSTARD,34.5,28.56,827.83
800,13,West Bengal,24 Parganas,2006,RICE,693.07,1637.07,2362.06
800,13,West Bengal,24 Parganas,2006,SAFFLOWER,0,0,0
800,13,West Bengal,24 Parganas,2006,SESAMUM,12.01,14.32,1192.34
800,13,West Bengal,24 Parganas,2006,SORGHUM,0,0,0
800,13,West Bengal,24 Parganas,2006,SOYABEAN,0,0,0
800,13,West Bengal,24 Parganas,2006,SUGARCANE,0.45,3.09,6866.67
800,13,West Bengal,24 Parganas,2006,SUNFLOWER,10.77,13.83,1284.12
800,13,West Bengal,24 Parganas,2006,WHEAT,8.6,20.2,2348.84
800,13,West Bengal,24 Parganas,2007,BARLEY,0,0,0
800,13,West Bengal,24 Parganas,2007,CASTOR,0,0,0
800,13,West Bengal,24 Parganas,2007,CHICKPEA,0.5,0.4,800
800,13,West Bengal,24 Parganas,2007,COTTON,4.6,0.57,123.91
800,13,West Bengal,24 Parganas,2007,FINGER MILLET,0,0,0
800,13,West Bengal,24 Parganas,2007,GROUNDNUT,2.37,4.01,1691.98
